victim_race,victim_age,victim_sex
White,25,Male
White,43,Male
White,30,Female
White,24,Male
White,1,Male
White,24,Male
White,29,Female
White,58,Female
White,37,Male
White,26,Male
Asian,31,Male
Asian,31,Male
White,31,Male
White,52,Male
White,30,Male
White,33,Male
White,25,Male
White,33,Male
White,31,Male
White,31,Male
White,46,Male
White,23,Male
White,52,Male
White,26,Female
White,22,Male
White,49,Male
White,35,Female
White,27,Male
White,20,Male
Black,70,Male
Black,59,Female
White,34,Male
White,24,Male
White,24,Male
White,29,Male
White,10,Female
Asian,39,Female
Asian,11,Female
White,23,Male
White,39,Male
White,47,Male
Asian,30,Male
White,22,Male
White,31,Male
White,33,Male
White,9,Male
White,6,Female
White,5,Male
White,32,Male
White,55,Male
White,54,Male
Black,39,Male
White,26,Male
White,58,Male
Hispanic,30,Male
Black,47,Male
Black,21,Male
Black,19,Male
Black,64,Male
Black,36,Male
Black,32,Female
Black,67,Male
Black,27,Male
Black,21,Male
Black,23,Male
Black,55,Male
Black,33,Male
Black,24,Male
Black,37,Male
Black,40,Male
Black,26,Male
Black,46,Male
Black,18,Male
Black,48,Male
Black,22,Male
Hispanic,34,Male
Black,50,Male
Black,50,Male
Black,21,Male
Black,46,Male
Black,42,Male
Black,19,Male
Black,70,Male
Black,18,Male
Black,46,Male
Black,24,Male
Black,28,Male
Black,44,Male
Black,24,Male
Black,40,Male
Black,29,Male
Black,89,Female
Black,35,Male
Black,56,Male
Black,19,Female
Black,34,Male
Black,17,Male
Black,44,Male
Black,40,Male
Black,37,Male
Black,24,Male
White,37,Male
Black,20,Male
Black,34,Male
Black,32,Male
Black,53,Female
Black,53,Male
Black,59,Male
Black,21,Male
Black,43,Male
Black,66,Male
Black,35,Female
Black,40,Male
Black,28,Male
Black,18,Male
Black,35,Male
Black,25,Male
Black,25,Female
Black,59,Female
Black,67,Male
Black,55,Male
Black,26,Male
Black,18,Male
Black,32,Male
Black,24,Female
Black,20,Male
Black,16,Female
Black,22,Male
Black,35,Male
Black,18,Male
Black,49,Male
Black,29,Male
Black,28,Male
Black,25,Male
Black,58,Male
White,26,Female
Black,50,Male
Black,28,Male
Black,1,Female
Black,34,Male
Black,36,Male
White,43,Male
Black,34,Female
Black,45,Male
Black,28,Male
White,30,Male
Black,51,Male
Black,43,Male
Black,22,Male
Black,28,Male
Black,22,Male
Black,60,Male
Black,50,Male
Black,32,Male
Black,40,Male
Black,34,Male
Black,15,Male
Black,62,Male
Black,15,Male
Black,40,Male
Black,16,Male
Black,23,Male
Black,26,Male
Black,33,Male
Black,37,Male
Black,47,Female
Black,39,Male
Black,28,Male
Black,63,Male
Black,26,Female
Black,35,Male
Black,46,Male
Black,55,Male
Black,23,Male
Black,27,Male
Black,28,Male
Black,22,Male
Black,16,Female
Black,22,Male
Black,83,Female
Black,30,Male
Black,64,Female
White,48,Male
Black,28,Male
Black,24,Male
Black,25,Male
White,29,Male
Black,2,Female
Black,29,Female
Black,22,Male
Black,42,Male
Black,24,Male
Black,24,Male
Black,19,Male
Black,24,Male
Black,20,Male
Black,21,Male
Black,64,Male
Black,41,Male
Black,53,Female
Black,28,Male
Hispanic,18,Male
Black,42,Male
Black,31,Male
Black,28,Male
Black,18,Male
Black,25,Male
Black,24,Male
Black,60,Female
Black,20,Male
Black,15,Male
Black,19,Male
Black,20,Male
Black,22,Male
Black,21,Male
Black,36,Male
Black,30,Male
Black,17,Male
Black,25,Male
Black,34,Male
Black,19,Male
Black,20,Male
Black,22,Male
Black,18,Male
Black,45,Male
Black,20,Male
Black,36,Male
Black,23,Male
Black,20,Male
Black,39,Male
Black,24,Male
Black,29,Male
Black,40,Male
Black,29,Male
Black,34,Male
Hispanic,30,Male
Black,37,Male
Black,29,Male
Black,27,Male
Black,33,Male
Black,24,Male
Black,50,Male
Black,33,Male
Black,29,Male
Black,36,Male
Black,24,Male
Black,25,Male
Black,22,Male
Black,25,Male
Black,20,Male
White,41,Male
Black,19,Male
Black,25,Male
Black,23,Male
Black,36,Male
